"ble_offset","app_field","sram","modbus","herkunft","nur"
"","","0x20014EDC","46508","eeprom_struct_02_reg2","nur Modbus"
"","","0x20014EE0","46509","eeprom_struct_03_reg0","nur Modbus"
"","","0x20014EE4","46510","eeprom_struct_03_reg1","nur Modbus"
"","","0x20014EE4","46511","eeprom_struct_03_reg2","nur Modbus"
"","","0x20014EE8","46512","eeprom_struct_04_reg0","nur Modbus"
"","","0x20014EEC","46513","eeprom_struct_04_reg1","nur Modbus"
"","","0x20014EEC","46514","eeprom_struct_04_reg2","nur Modbus"
"","","0x20014EF0","46515","eeprom_struct_05_reg0","nur Modbus"
"","","0x20014EF4","46516","eeprom_struct_05_reg1","nur Modbus"
"","","0x20014EF4","46517","eeprom_struct_05_reg2","nur Modbus"
"","","0x20014EF8","46518","eeprom_struct_06_reg0","nur Modbus"
"","","0x20014EFC","46519","eeprom_struct_06_reg1","nur Modbus"
"","","0x20014EFC","46520","eeprom_struct_06_reg2","nur Modbus"
"","","0x20014F00","46521","eeprom_struct_07_reg0","nur Modbus"
"","","0x20014F04","46522","eeprom_struct_07_reg1","nur Modbus"
"","","0x20014F04","46523","eeprom_struct_07_reg2","nur Modbus"
"","","0x20014F08","46524","eeprom_struct_08_reg0","nur Modbus"
"","","0x20014F0C","46525","eeprom_struct_08_reg1","nur Modbus"
"","","0x20014F0C","46526","eeprom_struct_08_reg2","nur Modbus"
"","","0x20014F10","46527","eeprom_struct_09_reg0","nur Modbus"
"","","0x20014F14","46528","eeprom_struct_09_reg1","nur Modbus"
"","","0x20014F14","46529","eeprom_struct_09_reg2","nur Modbus"
"","","0x20014F18","46530","eeprom_struct_10_reg0","nur Modbus"
"","","0x20014F1C","46531","eeprom_struct_10_reg1","nur Modbus"
"","","0x20014F1C","46532","eeprom_struct_10_reg2","nur Modbus"
"","","0x20014F20","46533","eeprom_struct_11_reg0","nur Modbus"
"","","0x20014F24","46534","eeprom_struct_11_reg1","nur Modbus"
"","","0x20014F24","46535","eeprom_struct_11_reg2","nur Modbus"
"","","0x20014F28","46536","eeprom_struct_12_reg0","nur Modbus"
"","","0x20014F2C","46537","eeprom_struct_12_reg1","nur Modbus"
"","","0x20014F2C","46538","eeprom_struct_12_reg2","nur Modbus"
"","","0x20014F30","46539","eeprom_struct_13_reg0","nur Modbus"
"","","0x20014F34","46540","eeprom_struct_13_reg1","nur Modbus"
"","","0x20014F34","46541","eeprom_struct_13_reg2","nur Modbus"
"","","0x20014F38","46542","eeprom_struct_14_reg0","nur Modbus"
"","","0x20014F3C","46543","eeprom_struct_14_reg1","nur Modbus"
"","","0x20014F3C","46544","eeprom_struct_14_reg2","nur Modbus"
